时间t(s),机械能E(J),能量对账E0+∫Ėdt(J),相对残差
125.2,4523.542965,4523.542862,2.272764702e-08
125.4,4260.177345,4260.177499,3.622918621e-08
125.6,4161.07369,4161.073941,6.041320533e-08
125.8,4270.993436,4270.99358,3.36414329e-08
126,4540.182804,4540.182683,2.664389369e-08
126.2,4846.480212,4846.479789,8.727221573e-08
126.4,5050.536687,5050.536062,1.236998703e-07
126.6,5059.256965,5059.256331,1.253384061e-07
126.8,4868.307656,4868.307209,9.182643861e-08
127,4563.990896,4563.990747,3.268288925e-08
127.2,4283.775371,4283.775496,2.902022136e-08
127.4,4153.925216,4153.925467,6.02849528e-08
127.6,4232.689361,4232.689534,4.088502648e-08
127.8,4484.360421,4484.360349,1.620999534e-08
128,4795.478106,4795.47773,7.847587209e-08
128.2,5025.866068,5025.865467,1.196109352e-07
128.4,5071.751251,5071.750605,1.272949775e-07
128.6,4912.623016,4912.622527,9.961370747e-08
128.8,4620.614633,4620.61443,4.385967593e-08
129,4328.078969,4328.079055,1.970616963e-08
129.2,4167.93273,4167.932974,5.863409068e-08
129.4,4213.589443,4213.589646,4.797663149e-08
129.6,4445.519324,4445.519301,5.207857168e-09
129.8,4759.713192,4759.712862,6.931061677e-08
130,5014.618565,5014.617987,1.153813022e-07
130.2,5095.488561,5095.487905,1.28708781e-07
130.4,4966.665831,4966.665304,1.060750834e-07
130.6,4687.637628,4687.637377,5.356877695e-08
130.8,4385.63783,4385.637876,1.046876338e-08
131,4197.792445,4197.792676,5.491430934e-08
131.2,4209.365677,4209.365898,5.236348726e-08
131.4,4415.713102,4415.713122,4.668947513e-09
131.6,4724.586248,4724.585969,5.906325073e-08
131.8,4997.636937,4997.636394,1.088027113e-07
132,5112.675035,5112.674381,1.279298887e-07
132.2,5018.792512,5018.791952,1.115747816e-07
132.4,4759.431014,4759.43071,6.381796318e-08
132.6,4452.87386,4452.873859,1.983789913e-10
132.8,4238.918469,4238.91868,4.996548348e-08
133,4215.718905,4215.719143,5.638777687e-08
133.2,4395.198538,4395.198602,1.461787965e-08
133.4,4697.266917,4697.266686,4.909395764e-08
133.6,4985.857924,4985.857412,1.028417105e-07
133.8,5130.801329,5130.800675,1.273198008e-07
134,5067.265023,5067.264435,1.160799395e-07
134.2,4825.218372,4825.218024,7.217011114e-08
134.4,4515.360993,4515.36095,9.584401631e-09
134.6,4278.453959,4278.454147,4.411724665e-08
134.8,4221.653312,4221.653556,5.783574989e-08
135,4370.575813,4370.575912,2.261424247e-08
135.2,4658.13328,4658.133098,3.89972824e-08
135.4,4954.828212,4954.827741,9.508262604e-08
135.6,5127.039853,5127.039214,1.246306205e-07
135.8,5097.291782,5097.291172,1.19523714e-07
136,4879.321342,4879.320947,8.097119534e-08
136.2,4571.990378,4571.990285,2.035124294e-08
136.4,4314.720504,4314.720665,3.719541726e-08
136.6,4224.527775,4224.528026,5.93196743e-08
136.8,4342.966939,4342.967075,3.122837208e-08
137,4616.929468,4616.929334,2.887171064e-08
137.2,4922.297732,4922.297297,8.822527541e-08
137.4,5120.215426,5120.214796,1.22989532e-07
137.6,5120.515979,5120.515349,1.230602761e-07
137.8,4922.994873,4922.994437,8.851323723e-08
138,4617.303583,4617.303447,2.946038856e-08
138.2,4341.750216,4341.750349,3.056305604e-08
138.4,4220.404283,4220.404533,5.914149188e-08
138.6,4307.275338,4307.275501,3.782327221e-08
138.8,4562.359821,4562.359733,1.926935749e-08
139,4869.856558,4869.856168,8.007795846e-08
139.2,5090.327786,5090.327179,1.192614792e-07
139.4,5123.565059,5123.564418,1.251142386e-07
139.6,4953.910685,4953.910208,9.612023714e-08
139.8,4657.471571,4657.471385,4.008811401e-08
140,4367.86665,4367.866747,2.215039339e-08
140.2,4215.934143,4215.934389,5.834733321e-08
140.4,4270.532267,4270.532459,4.515590506e-08
140.6,4507.084828,4507.084788,8.798422443e-09
140.8,4818.262948,4818.262602,7.194314726e-08
141,5062.412173,5062.411585,1.162147941e-07
141.2,5128.036454,5128.0358,1.275553584e-07
141.4,4984.782421,4984.781907,1.031219217e-07
141.6,4697.251679,4697.251446,4.950840536e-08
141.8,4395.326131,4395.326193,1.412423492e-08
142,4215.01486,4215.015097,5.620364264e-08
142.2,4237.055844,4237.056057,5.046917058e-08
142.4,4450.824356,4450.824359,8.486692598e-10
142.6,4759.339644,4759.339345,6.276195633e-08
142.8,5022.95896,5022.958402,1.109671496e-07
143,5122.279513,5122.278857,1.279578888e-07
143.2,5012.053098,5012.05255,1.094002377e-07
143.4,4741.734306,4741.734022,5.992192054e-08
143.6,4433.277552,4433.277571,4.06413813e-09
143.8,4226.156123,4226.156345,5.24499068e-08
144,4214.353155,4214.353389,5.559965399e-08
144.2,4403.672766,4403.672815,1.121743953e-08
144.4,4708.736537,4708.736287,5.308692205e-08
144.6,4991.387157,4991.386629,1.057490388e-07
144.8,5123.423334,5123.422676,1.283105873e-07
145,5045.063219,5045.06264,1.149052573e-07
145.2,4792.121601,4792.12127,6.904064211e-08
145.4,4479.412299,4479.412275,5.458018977e-09
145.6,4248.367555,4248.367756,4.732387127e-08
145.8,4203.12132,4203.121565,5.823011571e-08
146,4363.876203,4363.876291,2.00787314e-08
146.2,4658.092883,4658.092683,4.283208767e-08
146.4,4953.206848,4953.206361,9.841402774e-08
