时间t(s),质量矩阵最小特征值min_eig_M
66.8,623.5605808
67,595.9681185
67.2,567.3057892
67.4,540.9522545
67.6,519.5575316
67.8,504.9350817
68,498.1929135
68.2,499.9035244
68.4,510.1422701
68.6,528.3453198
68.8,553.0806231
69,581.9139741
69.2,611.5309197
69.4,638.1494238
69.6,658.1170181
69.8,668.5317855
70,667.767368
70.2,655.8272866
70.4,634.4342318
70.6,606.7410515
70.8,576.6609111
71,548.0333829
71.2,523.9654441
71.4,506.5728032
71.6,497.0945918
71.8,496.1610601
72,503.963238
72.2,520.1855109
72.4,543.741804
72.6,572.5130588
72.8,603.3253494
73,632.2919665
73.2,655.4430684
73.4,669.4350505
73.6,672.149834
73.8,663.0906988
74,643.5280974
74.2,616.3240852
74.4,585.3856752
74.6,554.8545295
74.8,528.3232832
75,508.3759418
75.2,496.5480306
75.4,493.5616193
75.6,499.58014
75.8,514.2801736
76,536.6912159
76.2,564.9303062
76.4,596.0679303
76.6,626.3249663
76.8,651.6238249
77,668.3271525
77.2,673.9320263
77.4,667.5528114
77.6,650.1118955
77.8,624.1911812
78,593.5304572
78.2,562.2701981
78.4,534.1791323
78.6,512.135844
78.8,497.989068
79,492.7089685
79.2,496.6135549
79.4,509.4710958
79.6,530.4028706
79.8,557.6677443
80,588.522815
80.2,619.3519033
80.4,646.1239064
80.6,665.0730762
80.8,673.403069
81,669.8382
81.2,654.9051996
81.4,630.8637351
81.6,601.2524272
81.8,570.1435251
82,541.3522056
82.2,517.8819539
82.4,501.7470841
82.6,494.0995714
82.8,495.4500312
83,505.7778624
83.2,524.4421178
83.4,549.9613096
83.6,579.8482675
83.8,610.6930751
84,638.5663123
84.2,659.648771
84.4,670.9050694
84.6,670.644748
84.8,658.8753827
85,637.3641817
85.2,609.3239382
85.4,578.7371367
85.6,549.5240113
85.8,524.8745084
86,506.9669167
86.2,497.0603015
86.4,495.7562192
86.6,503.1854787
86.8,518.9756307
87,542.024306
87.2,570.2573973
87.4,600.600671
87.6,629.2924974
87.8,652.4766429
88,666.8810783
88.2,670.3971939
88.4,662.4649133
88.6,644.2203037
88.8,618.342186
89,588.5477846
89.2,558.8271649
89.4,532.6830313
89.6,512.664783
89.8,500.3057629
90,496.3410368
90.2,500.9649813
90.4,513.9249493
90.6,534.3884869
90.8,560.6919201
91,590.1909443
91.2,619.4095687
91.4,644.5226961
91.6,662.0260241
91.8,669.3794022
92,665.4714418
92.2,650.8398206
92.4,627.6082469
92.6,599.1051467
92.8,569.2070447
93,541.5955254
93.2,519.1926866
93.4,503.9440523
93.6,496.9160109
93.8,498.5206512
94,508.6611657
94.2,526.6880876
94.4,551.2058719
94.6,579.8964961
94.8,609.5573105
95,636.4518417
95.2,656.9067543
95.4,667.9762683
95.6,667.9980641
95.8,656.9285456
96,636.387153
96.2,609.3618542
96.4,579.6051165
96.6,550.8904918
96.8,526.3908992
97,508.3740097
97.2,498.2244684
97.4,496.6352816
97.6,503.762518
97.8,519.2115084
98,541.8621982
98.2,569.6736416
98.4,599.6597624
98.6,628.1588927
98.8,651.3691985
99,666.000574
99.2,669.8754059
99.4,662.3602214
99.6,644.5410255
99.8,619.0564864
100,589.562783
100.2,559.9646018
100.4,533.6933135
100.6,513.2914424
