时间t(s),弹簧瞬时长度l(m),滑移量xi(m)
30.8,0.4295995861,-0.02235791386
31,0.4211750171,-0.0307824829
31.2,0.415950278,-0.03600722201
31.4,0.4144075135,-0.03754998651
31.6,0.4167109465,-0.03524655349
31.8,0.422697666,-0.02925983404
32,0.4318592979,-0.02009820205
32.2,0.4433373886,-0.008620111363
32.4,0.4559680675,0.004010567512
32.6,0.4683938632,0.01643636323
32.8,0.4792275589,0.02727005889
33,0.4872305654,0.03527306542
33.2,0.4914685784,0.03951107842
33.4,0.4914223639,0.03946486392
33.6,0.4870459339,0.03508843385
33.8,0.4787700732,0.02681257316
34,0.4674504373,0.01549293727
34.2,0.4542656858,0.002308185779
34.4,0.4405847892,-0.01137271078
34.6,0.427833408,-0.02412409205
34.8,0.4173820188,-0.03457548117
35,0.4104509594,-0.04150654059
35.2,0.4080012806,-0.04395621939
35.4,0.4105872656,-0.04137023445
35.6,0.4181938409,-0.03376365906
35.8,0.4301320306,-0.02182546936
36,0.4450669059,-0.006890594121
36.2,0.4611964361,0.009238936099
36.4,0.4765300115,0.02457251154
36.6,0.4891824578,0.03722495783
36.8,0.4976169074,0.04565940744
37,0.5008132193,0.04885571932
37.2,0.498370269,0.04641276896
37.4,0.4905500323,0.03859253228
37.6,0.4782511769,0.02629367692
37.8,0.4628923734,0.01093487342
38,0.4462115345,-0.005745965545
38.2,0.43003264,-0.02192485996
38.4,0.4160755423,-0.03588195774
38.6,0.4058517735,-0.04610572652
38.8,0.4006110843,-0.05134641566
39,0.4012453065,-0.05071219351
39.2,0.4080922614,-0.0438652386
39.4,0.420704154,-0.03125334601
39.6,0.4377373386,-0.01422016137
39.8,0.4570808396,0.005123339558
40,0.4762038481,0.02424634811
40.2,0.4925921823,0.04063468228
40.4,0.5041339049,0.05217640487
40.6,0.5093806334,0.0574231334
40.8,0.5076863544,0.05572885441
41,0.4992581456,0.04730064565
41.2,0.4851344173,0.03317691731
41.4,0.4670705094,0.01511300944
41.6,0.447306792,-0.004650707952
41.8,0.4282392038,-0.02371829616
42,0.4120746891,-0.0398828109
42.2,0.4005764836,-0.05138101645
42.4,0.3949530232,-0.05700447676
42.6,0.3958468927,-0.05611060734
42.8,0.4033184198,-0.04863908018
43,0.4167621797,-0.03519532027
43.2,0.4348154402,-0.01714205978
43.4,0.4553929719,0.003435471878
43.6,0.4759280943,0.02397059433
43.8,0.4937703191,0.04181281913
44,0.5066075121,0.05465001206
44.2,0.5127968191,0.06083931906
44.4,0.5115591345,0.05960163454
44.6,0.5030486674,0.05109116742
44.8,0.4883213996,0.03636389958
45,0.4692082479,0.01725074792
45.2,0.4480861418,-0.003871358163
45.4,0.4275582115,-0.02439928849
45.6,0.4100956761,-0.04186182386
45.8,0.3977230586,-0.0542344414
46,0.3918120098,-0.06014549016
46.2,0.3929915381,-0.05896596194
46.4,0.4011292922,-0.05082820785
46.6,0.4153381716,-0.03661932843
46.8,0.4340143188,-0.01794318123
47,0.4549589859,0.003001485919
47.2,0.4756230056,0.02366550561
47.4,0.4934486483,0.04149114825
47.6,0.5062297083,0.05427220826
47.8,0.5124082236,0.06045072358
48,0.5112631434,0.05930564343
48.2,0.5029834892,0.05102598916
48.4,0.4886325026,0.03667500259
48.6,0.4700067712,0.01804927124
48.8,0.4493976506,-0.0025598494
49,0.4292840757,-0.02267342432
49.2,0.4120143483,-0.03994315167
49.4,0.3995418993,-0.0524156007
49.6,0.3932498324,-0.05870766757
49.8,0.3938495062,-0.05810799381
50,0.4013140755,-0.05064342454
50.2,0.4148359321,-0.03712156787
50.4,0.4328494638,-0.01910803624
50.6,0.4531766844,0.001219184411
50.8,0.4733074079,0.02134990789
51,0.4907571382,0.0387996382
51.2,0.5034129845,0.05145548448
51.4,0.5097984501,0.05784095013
51.6,0.509232855,0.057275355
51.8,0.5018912458,0.04993374584
52,0.4887710583,0.03681355828
52.2,0.4715590303,0.01960153027
52.4,0.452395097,0.0004375970024
52.6,0.4335625629,-0.01839493713
52.8,0.4171766822,-0.03478081779
53,0.4049565551,-0.04700094492
53.2,0.3981212443,-0.05383625571
53.4,0.3973707532,-0.05458674681
53.6,0.4028627756,-0.04909472442
53.8,0.4141346961,-0.0378228039
54,0.430022517,-0.02193498296
54.2,0.4486915982,-0.003265901786
54.4,0.4678479817,0.01589048167
54.6,0.4850888444,0.03313134445
54.8,0.4982778299,0.04632032988
55,0.505841683,0.05388418295
55.2,0.506945732,0.05498823198
55.4,0.5015598078,0.04960230777
55.6,0.4904403432,0.03848284324
55.8,0.4750347388,0.02307723876
56,0.4572942612,0.0053367612
56.2,0.439394608,-0.01256289205
56.4,0.4234102843,-0.02854721567
56.6,0.4110332903,-0.04092420969
56.8,0.4034217129,-0.04853578705
57,0.4011955497,-0.05076195028
57.2,0.40450633,-0.04745116999
57.4,0.4130705077,-0.03888699226
57.6,0.4261203316,-0.02583716836
57.8,0.4423408805,-0.009616619532
58,0.4599147224,0.007957222364
58.2,0.4767324026,0.0247749026
58.4,0.4907154032,0.03875790322
58.6,0.5001404142,0.04818291415
58.8,0.5038776035,0.05192010353
59,0.501515268,0.04955776796
59.2,0.4933856646,0.0414281646
59.4,0.4805126248,0.0285551248
59.6,0.4644852369,0.01252773689
59.8,0.4472530854,-0.004704414603
60,0.4308570964,-0.02110040361
60.2,0.4171470897,-0.03481041032
60.4,0.407559315,-0.04439818498
60.6,0.4030057477,-0.04895175233
60.8,0.4038673034,-0.04809019657
61,0.4100287145,-0.04192878553
61.2,0.4208926137,-0.03106488626
61.4,0.4353698452,-0.01658765478
61.6,0.4519069914,-5.050857777e-05
61.8,0.4686159769,0.01665847694
62,0.4835109222,0.03155342222
62.2,0.4947924336,0.04283493359
62.4,0.5011012584,0.04914375836
62.6,0.5016910083,0.04973350828
62.8,0.4965079655,0.04455046552
63,0.4861859225,0.0342284225
63.2,0.4719632534,0.02000575342
63.4,0.455525322,0.003567821962
63.6,0.4387850246,-0.01317247539
63.8,0.4236372655,-0.02832023449
64,0.4117396848,-0.04021781518
64.2,0.4043605938,-0.04759690616
64.4,0.4022963726,-0.04966112737
64.6,0.4058240919,-0.04613340806
64.8,0.414656388,-0.03730111204
65,0.4279078252,-0.0240496748
65.2,0.4441239095,-0.007833590527
65.4,0.4614193895,0.009461889476
65.6,0.4777214436,0.02576394362
65.8,0.4910606347,0.03910313467
66,0.4998382025,0.04788070247
66.2,0.5030224611,0.05106496105
66.4,0.5002607054,0.04830320536
66.6,0.4919099473,0.03995244734
66.8,0.4789871543,0.02702965433
67,0.4630352515,0.01107775145
67.2,0.4459138092,-0.006043690845
67.4,0.429552558,-0.02240494197
67.6,0.4157280838,-0.03622941616
67.8,0.4059116333,-0.0460458667
68,0.401186467,-0.05077103304
68.2,0.4021834453,-0.04977405469
