时间t(s),动能T(J),势能V(J),机械能E(J),波浪输入功率Pin(W),垂荡兴波耗散bh_zdotf2(W),纵摇兴波耗散btheta_thetadotf2(W),直线PTO耗散Pl(W),旋转PTO耗散Ptheta(W),总耗散Pd(W),累计输入功Win(J),累计耗散Wdiss(J),能量残差E-(Win-Wdiss)(J)
0,0,0,0,0,0,0,0,0,0,0,0,0
0.2,32.99746917,3.93485938,36.93232855,358.0355767,6.298041355,0.2168506885,22.75762419,0.007883036176,29.28039927,40.47198266,3.53965411,5.531717306e-10
0.4,90.40036019,26.10438635,116.5047465,434.2282618,13.1463106,0.7281678415,0.02443724944,0.02925167675,13.92816737,123.9858933,7.481146786,6.343157111e-10
0.6,118.9992327,69.18621133,188.185444,305.1567458,14.05962404,1.116309577,20.00994465,0.00639642298,35.19227469,200.3909077,12.20546368,6.771756489e-10
0.8,84.81404401,135.9404534,220.7544974,94.85852683,8.699803144,1.12343955,24.58292491,0.007458213225,34.41362582,240.5286532,19.77415581,7.10713266e-10
1,22.08014089,197.2275516,219.3076925,-30.18939504,1.247605449,0.6747931858,12.95667773,0.001321610495,14.88039798,244.0077449,24.70005235,7.171365723e-10
1.2,14.71756039,204.0077698,218.7253302,92.61466652,2.537769324,0.1326973969,4.394665168,0.003005915323,7.068137804,245.2842311,26.55890091,7.200924301e-10
1.4,132.5660014,138.4293996,270.9954009,494.48757,22.0044582,0.06366986466,0.3054411209,0.002023032691,22.37559222,300.0897396,29.09433862,7.214566722e-10
1.6,367.5024898,47.5206262,415.023116,1026.02943,56.74627343,0.9334897514,1.634333309,0.01049260925,59.3245891,452.0057643,36.98264823,7.231619747e-10
1.8,616.7247063,31.86083129,648.5855376,1430.21843,90.20356513,2.769058781,10.25224127,0.003873999809,103.2287392,701.8976116,53.31207399,7.272547009e-10
2,736.4103446,187.1988035,923.6091481,1489.248187,101.7942787,5.073525689,22.54793778,0.00812617751,129.4238684,1000.692573,77.08342483,7.340759112e-10
2.2,639.2965955,528.8802862,1168.176882,1153.176895,81.24814982,6.940384389,30.62587374,0.02147325628,118.8358812,1270.751766,102.5748843,7.437392924e-10
2.4,373.1398782,950.868939,1324.008817,588.7451449,38.92009396,7.451094085,28.95125212,0.007229963258,75.32967012,1446.366415,122.3575975,7.535163604e-10
2.6,120.2553987,1259.385894,1379.641292,111.8687711,4.09606852,6.264211435,18.32445105,0.01569165605,28.70042267,1512.116979,132.4756872,7.60110197e-10
2.8,103.5581405,1277.802212,1381.360352,27.28498126,9.595727095,3.771440991,5.584866876,0.005192173808,18.95722714,1517.689432,136.3290803,7.648850442e-10
3,445.9780788,967.8854352,1413.863514,460.290815,70.41411537,1.183465399,0.013048313,0.0008583409197,71.61148742,1558.16409,144.3005758,7.660219126e-10
3.2,1068.867563,489.9633843,1558.830947,1270.131663,169.7390661,0.0002788602235,7.765501782,3.103254691e-05,177.5048778,1727.44104,168.6100925,7.707967598e-10
3.4,1702.642295,149.1910756,1851.83337,2100.804516,262.9292194,1.360884101,27.38797797,0.005891223507,291.6839727,2067.723168,215.8897976,7.780727174e-10
3.6,2021.275784,238.8528182,2260.128602,2550.579725,300.0379886,5.426043049,49.65709929,0.01077998921,355.131911,2541.981923,281.8533208,7.935341273e-10
3.8,1834.848542,859.1884865,2694.037029,2380.372919,255.7613449,11.1581365,62.40903845,0.02441534314,329.3529352,3045.918332,351.8813031,8.099050319e-10
4,1228.472629,1819.532338,3048.004967,1650.883915,149.3339349,16.59049308,57.76701336,0.03649812535,223.7279394,3456.156183,408.1512161,8.29459168e-10
4.2,553.9865572,2698.16731,3252.153867,713.7000554,40.54869486,19.59741796,37.51749855,0.03662267711,97.70023404,3692.111225,439.9573585,8.399183571e-10
4.4,258.9782557,3049.806136,3308.784392,50.33136509,0.7461404184,18.84015715,13.17872653,0.03982106949,32.80484516,3760.146265,451.3618731,8.458300726e-10
4.6,634.6334202,2660.262431,3294.895851,33.62262669,72.62185413,14.40698969,0.1891227265,0.02665404225,87.24462058,3756.074156,461.1783049,8.485585568e-10
4.8,1622.795566,1705.046957,3327.842523,730.9074906,241.1959477,7.994176591,9.125855414,0.01474173957,258.3307215,3822.040546,494.1980235,8.531060303e-10
5,2803.916491,705.6268117,3509.543303,1851.779017,434.4571578,2.302340777,38.91087034,0.004258869254,475.6746277,4077.224509,567.6812061,8.653842087e-10
5.2,3594.474066,281.3163022,3875.790368,2875.355842,556.9906905,0.0001422998982,76.21513753,0.0001047668391,633.2060751,4556.2228,680.4324317,8.858478395e-10
5.4,3562.708706,813.0198131,4375.728519,3300.845468,541.0942367,2.585448611,101.9706237,0.005596474689,645.6559054,5186.8503,811.1217811,9.167706594e-10
5.6,2692.936546,2199.701968,4892.638513,2900.427714,388.1028132,9.654383571,101.8149315,0.02115640847,499.5932847,5820.557697,927.9191835,9.476934792e-10
5.8,1441.014654,3856.422274,5297.436928,1845.98889,175.388689,18.91787958,74.75693137,0.03982275526,269.1033227,6302.634455,1005.197527,9.649738786e-10
6,527.8569551,4982.245652,5510.102608,640.9109879,21.54799402,27.01866495,34.93697073,0.05496598088,83.55859569,6548.684404,1038.581796,9.722498362e-10
6.2,562.2758594,4977.316966,5539.592825,-117.2210024,25.16754514,30.84414339,4.931208927,0.06391303672,61.0068105,6589.264409,1049.671583,9.66792868e-10
6.4,1689.633186,3792.682657,5482.315843,-30.3178128,208.7945838,28.80371036,3.757585745,0.05786854016,241.4137484,6559.086038,1076.770195,9.75887815e-10
6.6,3465.766758,2012.799979,5478.566737,895.0824913,499.6040194,21.56943729,35.96462436,0.04374430942,557.1818254,6634.019888,1155.453152,9.94077709e-10
6.8,5046.55712,600.0066945,5646.563814,2236.719164,760.5517061,11.89184152,88.00367841,0.02406650364,860.4712925,6945.391918,1298.828103,1.017724571e-09
