时间t(s),相对位移u=zo-zf(m),相对角phi=thetao-thetaf(rad),直线PTO功率Pl(W),旋转PTO功率Ptheta(W)
17,-0.07171414522,-0.00023224925,60.63580491,0.004573204538
17.2,-0.05204886211,-0.0006812578017,135.9348247,0.005254123194
17.4,-0.02609644959,-0.001124305393,196.2806104,0.004306851068
17.6,0.002788395075,-0.001486833332,212.127223,0.002226166529
17.8,0.03093091282,-0.001700313001,176.3742922,0.0003578424059
18,0.05480836662,-0.001712094674,107.1209247,0.0002547536202
18.2,0.07149421061,-0.001493485814,38.06585093,0.002826066474
18.4,0.07901794832,-0.001044987896,1.659137403,0.007714815099
18.6,0.07659632032,-0.0003979668397,13.46153809,0.01326532069
18.8,0.06470897479,0.000387584133,65.25937388,0.01717022899
19,0.04501235577,0.00122900004,129.9298015,0.01755010548
19.2,0.02010644454,0.002030006997,175.2277698,0.01396890852
19.4,-0.00681251311,0.002691872389,179.4651041,0.00787255725
19.6,-0.03236640172,0.003125334294,141.4457725,0.002163687306
19.8,-0.05342249634,0.003261900403,80.13852724,1.900052165e-05
20,-0.06747913556,0.003063122719,24.7206718,0.003430081739
20.2,-0.07296214938,0.002526679492,0.2220663611,0.0121263708
20.4,-0.06939708473,0.001688443101,15.84640114,0.02342295911
20.6,-0.05743906353,0.0006201609422,61.40098923,0.03315473738
20.8,-0.03876070071,-0.0005771039646,113.1070068,0.03737342207
21,-0.01581645612,-0.001783138066,145.5247841,0.03410831444
21.2,0.008483188633,-0.002871272567,143.6071359,0.02440919417
21.4,0.03114407179,-0.003722217622,109.1803465,0.01215108575
21.6,0.04945918844,-0.004237487869,59.12760341,0.0025953172
21.8,0.06133187358,-0.004350881548,16.63071516,0.0002488337307
22,0.06551282352,-0.004036673901,0.006361056853,0.006904350801
22.2,0.06172465913,-0.003313532737,14.50818889,0.02071622152
22.4,0.05066278104,-0.00224363194,50.72146256,0.03676390745
22.6,0.0338771198,-0.0009269752773,89.8538576,0.04893749619
22.8,0.0135540008,0.0005085207674,112.9968678,0.05240662406
23,-0.007771073202,0.001920150737,109.8007815,0.04565665883
23.2,-0.02753169545,0.003165345741,82.61227001,0.03122261687
23.4,-0.04343970407,0.00411678006,44.5116761,0.01477385667
23.6,-0.05374797005,0.004676001168,12.60841326,0.002886176277
23.8,-0.05743701057,0.00478407736,0.01478566969,0.0003956707326
24,-0.05430635695,0.004428076528,10.24426621,0.008420534141
24.2,-0.04496415484,0.003642644912,36.36981462,0.02387505354
24.4,-0.03072116379,0.002506493775,64.92832991,0.04068946194
24.6,-0.01340656954,0.001134163223,82.42217255,0.05224384312
24.8,0.004868488563,-0.0003360449639,81.29488468,0.05402071947
25,0.02196892638,-0.001756651104,62.7746153,0.04539135921
25.2,0.03598368324,-0.002986507123,35.60892772,0.02981315162
25.4,0.04543510953,-0.003905542103,11.62020472,0.01337581662
25.6,0.04942751104,-0.00442714446,0.3176728744,0.002314440295
25.8,0.04772111982,-0.004506849111,4.995507996,0.0005223493983
